+----------------------------------------+------------+
|                Modules                 | Parameters |
+----------------------------------------+------------+
|             1.0.1.1.weight             |    128     |
|              1.0.1.1.bias              |     4      |
|              1.0.2.weight              |     4      |
|               1.0.2.bias               |     4      |
|             1.1.1.1.weight             |   36864    |
|              1.1.1.1.bias              |    128     |
|              1.1.2.weight              |    128     |
|               1.1.2.bias               |    128     |
|             1.1.4.1.weight             |   147456   |
|              1.1.4.1.bias              |    128     |
|              1.1.5.weight              |    128     |
|               1.1.5.bias               |    128     |
|          1.1.7.1.0.1.1.weight          |    512     |
|           1.1.7.1.0.1.1.bias           |     4      |
|           1.1.7.1.0.2.weight           |     4      |
|            1.1.7.1.0.2.bias            |     4      |
|          1.1.7.1.1.1.1.weight          |   147456   |
|           1.1.7.1.1.1.1.bias           |    128     |
|           1.1.7.1.1.2.weight           |    128     |
|            1.1.7.1.1.2.bias            |    128     |
|          1.1.7.1.1.4.1.weight          |   147456   |
|           1.1.7.1.1.4.1.bias           |    128     |
|           1.1.7.1.1.5.weight           |    128     |
|            1.1.7.1.1.5.bias            |    128     |
|       1.1.7.1.1.7.1.0.1.1.weight       |    512     |
|        1.1.7.1.1.7.1.0.1.1.bias        |     4      |
|        1.1.7.1.1.7.1.0.2.weight        |     4      |
|         1.1.7.1.1.7.1.0.2.bias         |     4      |
|       1.1.7.1.1.7.1.1.1.1.weight       |   147456   |
|        1.1.7.1.1.7.1.1.1.1.bias        |    128     |
|        1.1.7.1.1.7.1.1.2.weight        |    128     |
|         1.1.7.1.1.7.1.1.2.bias         |    128     |
|       1.1.7.1.1.7.1.1.4.1.weight       |   147456   |
|        1.1.7.1.1.7.1.1.4.1.bias        |    128     |
|        1.1.7.1.1.7.1.1.5.weight        |    128     |
|         1.1.7.1.1.7.1.1.5.bias         |    128     |
|    1.1.7.1.1.7.1.1.7.1.0.1.1.weight    |    512     |
|     1.1.7.1.1.7.1.1.7.1.0.1.1.bias     |     4      |
|     1.1.7.1.1.7.1.1.7.1.0.2.weight     |     4      |
|      1.1.7.1.1.7.1.1.7.1.0.2.bias      |     4      |
|    1.1.7.1.1.7.1.1.7.1.1.1.1.weight    |   147456   |
|     1.1.7.1.1.7.1.1.7.1.1.1.1.bias     |    128     |
|     1.1.7.1.1.7.1.1.7.1.1.2.weight     |    128     |
|      1.1.7.1.1.7.1.1.7.1.1.2.bias      |    128     |
|    1.1.7.1.1.7.1.1.7.1.1.4.1.weight    |   147456   |
|     1.1.7.1.1.7.1.1.7.1.1.4.1.bias     |    128     |
|     1.1.7.1.1.7.1.1.7.1.1.5.weight     |    128     |
|      1.1.7.1.1.7.1.1.7.1.1.5.bias      |    128     |
| 1.1.7.1.1.7.1.1.7.1.1.7.1.0.1.1.weight |    512     |
|  1.1.7.1.1.7.1.1.7.1.1.7.1.0.1.1.bias  |     4      |
|  1.1.7.1.1.7.1.1.7.1.1.7.1.0.2.weight  |     4      |
|   1.1.7.1.1.7.1.1.7.1.1.7.1.0.2.bias   |     4      |
| 1.1.7.1.1.7.1.1.7.1.1.7.1.1.1.1.weight |   147456   |
|  1.1.7.1.1.7.1.1.7.1.1.7.1.1.1.1.bias  |    128     |
|  1.1.7.1.1.7.1.1.7.1.1.7.1.1.2.weight  |    128     |
|   1.1.7.1.1.7.1.1.7.1.1.7.1.1.2.bias   |    128     |
| 1.1.7.1.1.7.1.1.7.1.1.7.1.1.4.1.weight |   147456   |
|  1.1.7.1.1.7.1.1.7.1.1.7.1.1.4.1.bias  |    128     |
|  1.1.7.1.1.7.1.1.7.1.1.7.1.1.5.weight  |    128     |
|   1.1.7.1.1.7.1.1.7.1.1.7.1.1.5.bias   |    128     |
|    1.1.7.1.1.7.1.1.7.1.1.7.2.weight    |    132     |
|     1.1.7.1.1.7.1.1.7.1.1.7.2.bias     |    132     |
|   1.1.7.1.1.7.1.1.7.1.1.7.3.1.weight   |   152064   |
|    1.1.7.1.1.7.1.1.7.1.1.7.3.1.bias    |    128     |
